DateTime,pod1,pod2
2021-07-12 08:09:40.908000,471740416,456708096
2021-07-12 08:09:50.932000,471740416,456708096
2021-07-12 08:10:00.949000,471740416,456708096
2021-07-12 08:10:10.970000,321187840,408166400
2021-07-12 08:10:21.001000,321187840,408166400
2021-07-12 08:10:31.028000,321187840,408166400
2021-07-12 08:10:41.054000,312590336,319102976
2021-07-12 08:10:51.075000,312590336,319102976
2021-07-12 08:11:01.094000,312590336,319102976
2021-07-12 08:11:11.112000,305917952,319279104
2021-07-12 08:11:21.133000,305917952,319279104
2021-07-12 08:11:31.154000,305917952,319279104
2021-07-12 08:11:41.172000,307314688,320643072
2021-07-12 08:11:51.188000,307314688,320643072
2021-07-12 08:12:01.201000,307314688,320643072
2021-07-12 08:12:11.221000,307552256,332898304
2021-07-12 08:12:21.242000,307552256,332898304
2021-07-12 08:12:31.260000,307552256,332898304
2021-07-12 08:12:41.284000,311881728,333156352
2021-07-12 08:12:51.300000,311881728,333156352
2021-07-12 08:13:01.323000,311881728,333156352
2021-07-12 08:13:11.342000,312045568,337149952
2021-07-12 08:13:21.360000,312045568,337149952
2021-07-12 08:13:31.379000,312045568,337149952
2021-07-12 08:13:41.398000,317833216,337453056
2021-07-12 08:13:51.415000,317833216,337453056
2021-07-12 08:14:01.430000,317833216,337453056
2021-07-12 08:14:11.448000,318062592,338804736
2021-07-12 08:14:21.467000,318062592,338804736
2021-07-12 08:14:31.489000,318062592,338804736
2021-07-12 08:14:41.512000,321388544,338915328
2021-07-12 08:14:51.525000,321388544,338915328
2021-07-12 08:15:01.544000,321388544,338915328
2021-07-12 08:15:11.562000,321605632,344453120
2021-07-12 08:15:21.581000,321605632,344453120
2021-07-12 08:15:31.601000,321605632,344453120
2021-07-12 08:15:41.618000,328036352,344715264
2021-07-12 08:15:51.639000,328036352,344715264
2021-07-12 08:16:01.659000,328036352,344715264
2021-07-12 08:16:11.676000,328851456,345464832
2021-07-12 08:16:21.697000,328851456,345464832
2021-07-12 08:16:31.715000,328851456,345464832
2021-07-12 08:16:41.733000,329084928,345825280
2021-07-12 08:16:51.752000,329084928,345825280
2021-07-12 08:17:01.771000,329084928,345825280
2021-07-12 08:17:11.790000,329314304,345939968
2021-07-12 08:17:21.809000,329314304,345939968
2021-07-12 08:17:31.766000,329314304,345939968
2021-07-12 08:17:41.730000,329564160,346193920
2021-07-12 08:17:51.717000,329564160,346193920
2021-07-12 08:18:01.717000,329564160,346193920
2021-07-12 08:18:11.723000,329826304,346411008
2021-07-12 08:18:21.731000,329826304,346411008
2021-07-12 08:18:31.751000,329826304,346411008
2021-07-12 08:18:41.782000,330027008,346656768
2021-07-12 08:18:51.810000,330027008,346656768
2021-07-12 08:19:01.945000,330027008,346656768
2021-07-12 08:19:12.056000,330366976,346882048
2021-07-12 08:19:22.103000,330366976,346882048
2021-07-12 08:19:32.135000,330366976,346882048
2021-07-12 08:19:42.156000,332881920,347119616
2021-07-12 08:19:52.181000,332881920,347119616
2021-07-12 08:20:02.199000,332881920,347119616
2021-07-12 08:20:12.226000,333144064,347492352
2021-07-12 08:20:22.252000,333144064,347492352
2021-07-12 08:20:32.278000,333144064,347492352
2021-07-12 08:20:42.314000,336072704,347668480
2021-07-12 08:20:52.341000,336072704,347668480
2021-07-12 08:21:02.369000,336072704,347668480
2021-07-12 08:21:12.391000,336310272,347889664
2021-07-12 08:21:22.412000,336310272,347889664
2021-07-12 08:21:32.430000,336310272,347889664
2021-07-12 08:21:42.448000,336568320,348106752
2021-07-12 08:21:52.459000,336568320,348106752
2021-07-12 08:22:02.478000,336568320,348106752
2021-07-12 08:22:12.493000,336793600,348340224
2021-07-12 08:22:22.505000,336793600,348340224
2021-07-12 08:22:32.520000,336793600,348340224
2021-07-12 08:22:42.537000,332374016,348569600
2021-07-12 08:22:52.529000,332374016,348569600
2021-07-12 08:23:02.527000,332374016,348569600
2021-07-12 08:23:12.528000,332656640,348749824
2021-07-12 08:23:22.534000,332656640,348749824
2021-07-12 08:23:32.541000,332656640,348749824
2021-07-12 08:23:42.559000,332894208,348979200
2021-07-12 08:23:52.572000,332894208,348979200
2021-07-12 08:24:02.584000,332894208,348979200
2021-07-12 08:24:12.601000,333058048,349257728
2021-07-12 08:24:22.617000,333058048,349257728
2021-07-12 08:24:32.633000,333058048,349257728
2021-07-12 08:24:42.653000,333258752,349356032
2021-07-12 08:24:52.670000,333258752,349356032
2021-07-12 08:25:02.704000,333258752,349356032
2021-07-12 08:25:12.737000,333504512,349597696
2021-07-12 08:25:22.767000,333504512,349597696
2021-07-12 08:25:32.798000,333504512,349597696
2021-07-12 08:25:42.824000,333770752,349900800
2021-07-12 08:25:52.851000,333770752,349900800
2021-07-12 08:26:02.881000,333770752,349900800
2021-07-12 08:26:12.908000,334020608,350056448
2021-07-12 08:26:22.927000,334020608,350056448
2021-07-12 08:26:32.956000,334020608,350056448
2021-07-12 08:26:42.984000,334237696,350298112
2021-07-12 08:26:53.011000,334237696,350298112
2021-07-12 08:27:03.045000,334237696,350298112
2021-07-12 08:27:13.068000,334462976,350580736
2021-07-12 08:27:23.092000,334462976,350580736
2021-07-12 08:27:33.112000,334462976,350580736
2021-07-12 08:27:43.134000,334684160,350908416
2021-07-12 08:27:53.153000,334684160,350908416
2021-07-12 08:28:03.173000,334684160,350908416
2021-07-12 08:28:13.194000,334864384,351064064
2021-07-12 08:28:23.214000,334864384,351064064
2021-07-12 08:28:33.236000,334864384,351064064
2021-07-12 08:28:43.256000,335081472,351248384
2021-07-12 08:28:53.276000,335081472,351248384
